2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 520 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 531 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 633 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 644 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | Flushed the final block.
2026-04-29 10:05:15 | INFO     | Segmenter | Segmentation complete. Created 10 blocks (after merging).
2026-04-29 10:05:15 | INFO     | MainPipeline | Success! Ground Truth saved to: evaluation_results\fail\fail_ground_truth.txt
2026-04-29 10:07:36 | INFO     | MainPipeline | --- Processing Started: מסמך אפיון לפרויקט  Jeen.docx ---
2026-04-29 10:07:36 | INFO     | Router | Analyzing file extension: .docx
2026-04-29 10:07:36 | INFO     | Router | Route identified: DOCX (Native)
2026-04-29 10:07:36 | INFO     | NativeDOCX | Starting native extraction for: uploads\מסמך אפיון לפרויקט  Jeen.docx
2026-04-29 10:07:36 | INFO     | NativeDOCX | Successfully extracted 118 paragraphs.
2026-04-29 10:07:36 | INFO     | NativeDOCX | Extracting images from DOCX...
2026-04-29 10:07:36 | INFO     | NativeDOCX | Extracted 0 images from DOCX.
2026-04-29 10:07:36 | INFO     | Segmenter | Starting segmentation for 118 elements.
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 5 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 6 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 7 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 8 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 9 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 10 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 11 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 12 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 13 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 14 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 15 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 17 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 18 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 21 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 22 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 25 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 26 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 27 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 28 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 29 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 30 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 31 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 32 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 33 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 34 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 43 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 44 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 45 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 46 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 48 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 49 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 52 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 53 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 56 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 57 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 61 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 62 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 67 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 68 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 71 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 72 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 75 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 76 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 79 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 80 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 84 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 85 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 89 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 90 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 94 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 95 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 98 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 99 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 102 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 103 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 106 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 107 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 110 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | New block started at element 111 (Reason: Font=False, Gap=False, Style=True)
2026-04-29 10:07:36 | DEBUG    | Segmenter | Flushed the final block.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (39 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (58 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (12 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (18 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (17 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (12 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (12 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (8 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (21 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (15 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (11 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (41 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (10 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (29 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (10 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (17 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (23 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (16 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (17 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (16 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (13 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (14 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (10 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (18 chars) into next.
2026-04-29 10:07:36 | DEBUG    | Segmenter | Merging small block (22 chars) into next.
